"","state","county","latitude","longitude","lagi"
"1","AL","Autauga",32.524787375,-86.637706375,14.0028718937108
"2","AL","Baldwin",30.5872017692308,-87.7190561153846,15.4046773933968
"3","AL","Barbour",31.8161686,-85.4180688,12.8262189332056
"4","AL","Bibb",33.032728375,-87.080730625,12.7492308908444
"5","AL","Blount",33.9519438571429,-86.582932,13.8131728276007
"6","AL","Bullock",32.10515375,-85.71408825,11.6474650991484
"7","AL","Butler",31.6921958,-86.7032796,12.816253891616
"8","AL","Calhoun",33.7673052941176,-85.8300413529412,14.5839994136391
"9","AL","Chambers",32.8801192,-85.3072474,13.1498851548626
"10","AL","Cherokee",34.1930998,-85.6118958,12.8165662129674
"11","AL","Chilton",32.8482811428571,-86.7365678571429,13.4681223584173
"12","AL","Choctaw",32.0519413636364,-88.2105660909091,12.3615624283587
"13","AL","Clarke",31.6621173571429,-87.848348,13.019069613432
"14","AL","Clay",33.2473113333333,-85.862191,12.2114581178065
"15","AL","Cleburne",33.6815862,-85.4502488,12.3907830135081
"16","AL","Coffee",31.3705865,-85.9921708333333,13.8761605912225
"17","AL","Colbert",34.7139988333333,-87.7610218333333,13.9316406727437
"18","AL","Conecuh",31.4386986666667,-87.0804243333333,12.1148779853452
"19","AL","Coosa",32.9465996,-86.1511956,11.905251296271
"20","AL","Covington",31.206252,-86.435104625,13.3861712148035
"21","AL","Crenshaw",31.71421375,-86.318535,12.3123542368675
"22","AL","Cullman",34.133397,-86.8557109230769,14.1887933253615
"23","AL","Dale",31.3891224,-85.616952,13.6380511616872
"24","AL","Dallas",32.3533043,-87.1081816,13.2899959101188
"25","AL","Elmore",32.6020686,-86.1777687,14.3794871096478
"26","AL","Escambia",31.1087695714286,-87.3058398571429,13.3188425735207
"27","AL","Etowah",34.0146128181818,-86.0618324545455,14.3936014818247
"28","AL","Fayette",33.7203974,-87.776232,12.4566990594057
"29","AL","Franklin",34.4227255714286,-87.8779805714286,13.0801383157122
"30","AL","Geneva",31.1180497777778,-85.7916264444444,12.8608479525705
"31","AL","Greene",32.781917,-87.9292523333333,11.5472979057602
"32","AL","Hale",32.7223866666667,-87.6409386666667,12.355647156364
"33","AL","Henry",31.4573675,-85.25104575,12.6157422357362
"34","AL","Houston",31.1691548333333,-85.2940904166667,14.5834780640369
"35","AL","Jackson",34.7675006315789,-85.989955631579,13.7046583237195
"36","AL","Jefferson",33.5410916190476,-86.8802047428571,16.7104042984906
"37","AL","Lamar",33.7972826666667,-88.081859,12.239860357393
"38","AL","Lauderdale",34.8931821818182,-87.617946,14.4628169207537
"39","AL","Lawrence",34.5829636,-87.3504684,13.2602818825623
"40","AL","Lee",32.5824085384615,-85.3648619230769,14.9258501455969
"41","AL","Limestone",34.8086920909091,-86.9906227272727,14.5271055268718
"42","AL","Lowndes",32.13299625,-86.59071125,12.0327663290631
"43","AL","Macon",32.3801441428571,-85.757629,12.4992645111556
"44","AL","Madison",34.7407230526316,-86.5674638684211,16.1690029058422
"45","AL","Marengo",32.2831121,-87.7932086,12.7758763598531
"46","AL","Marion",34.1056756666667,-87.8245053333333,12.9435907158256
"47","AL","Marshall",34.3335042,-86.2926333,14.3395133798506
"48","AL","Mobile",30.6672823387097,-88.1680394032258,15.9294363731711
"49","AL","Monroe",31.5418644666667,-87.3612201333333,12.757163628924
"50","AL","Montgomery",32.2670997272727,-86.22541925,15.4111823506738
"51","AL","Morgan",34.4954311538462,-86.8810908461539,14.7934189243369
"52","AL","Perry",32.548815,-87.375108,11.6305662682899
"53","AL","Pickens",33.3013615,-88.065863,12.5638414909405
"54","AL","Pike",31.8085413333333,-85.9538943333333,13.1747224036978
"55","AL","Randolph",33.3300368333333,-85.4325221666667,12.7207000334241
"56","AL","Russell",32.3097840909091,-85.1434507272727,13.7699670178029
"57","AL","Shelby",33.2601147368421,-86.6701504736842,15.6930173556091
"58","AL","Sumter",32.60788825,-88.19834775,12.0151784484315
"59","AL","Talladega",33.3410656,-86.2151507,14.0938170668525
"60","AL","Tallapoosa",32.892448,-85.790548,13.5268546781827
"61","AL","Tuscaloosa",33.25891025,-87.5258308928571,15.2519691388067
"62","AL","Walker",33.7999628421053,-87.2804335789474,14.2432425747929
"63","AL","Washington",31.3991395,-88.1797799285714,12.6690485128048
"64","AL","Wilcox",32.0172294285714,-87.3039622857143,11.8891402565836
"65","AL","Winston",34.13798275,-87.402225875,12.8284861545753
"66","AR","Arkansas",34.317439,-91.300762,17.9533665030576
"67","AR","Arkansas",34.317439,-91.300762,12.8650320265529
"68","AR","Ashley",33.2178551428571,-91.6882967142857,12.8356914612395
"69","AR","Baxter",36.3306923333333,-92.38756225,13.5483733209642
"70","AR","Benton",36.3616203809524,-94.2637158571429,16.0092040193533
"71","AR","Boone",36.3163343333333,-93.0584487777778,13.3912967869443
"72","AR","Bradley",33.47459975,-92.19609625,12.0334617869194
"73","AR","Calhoun",33.5913835,-92.53906475,11.3073639399869
"74","AR","Carroll",36.3931088333333,-93.6220788333333,12.9531230865511
"75","AR","Chicot",33.30875675,-91.31364425,12.0239090762555
"76","AR","Clark",34.0300136,-93.1801285,12.7263088505503
"77","AR","Clay",36.3741557272727,-90.4410683636364,12.3235134003929
"78","AR","Cleburne",35.5653877272727,-92.0138424545455,13.0984497113563
"79","AR","Cleveland",33.8837186666667,-92.2075243333333,11.8514242182474
"80","AR","Columbia",33.2333458571429,-93.2434872857143,13.0172517196677
"81","AR","Conway",35.271394,-92.6766668888889,12.8565132443504
"82","AR","Craighead",35.8324086428571,-90.6200434285714,14.5286407417086
"83","AR","Crawford",35.5731525454545,-94.267411,13.823930014657
"84","AR","Crittenden",35.2297348,-90.2862865,13.6603141649028
"85","AR","Cross",35.3198502857143,-90.7719334285714,12.6400571809654
"86","AR","Dallas",33.98148325,-92.65709325,11.5921894079468
"87","AR","Desha",33.773379875,-91.307774875,12.2216752887576
"88","AR","Drew",33.6230076666667,-91.7268771666667,12.6605088538188
"89","AR","Faulkner",35.1738016363636,-92.333786,14.7213799760902
"90","AR","Franklin",35.4099605,-93.8641295,12.5548333543652
"91","AR","Fulton",36.3929993,-91.7837302,11.9198295372726
"92","AR","Garland",34.5609181538462,-93.0784089230769,14.5679690277085
